Year,Precip,NAO_DJFM_PC1,NAO_DJFM_PC2,Dev_5km
1995,430.0801169,1.29,0.87,0.012803633
1996,374.57815,-1.44,1.29,0.012852968
1997,420.1096116,0.71,-1.44,0.012855168
1998,277.935342,-0.01,0.71,0.012855168
1999,523.3709845,0.66,-0.01,0.01294371
2000,462.1975719,1.61,0.66,0.012972924
2001,369.1681262,-1.01,1.61,0.012972924
2002,415.1162238,0.62,-1.01,0.013025692
2003,309.1702554,0.05,0.62,0.013130337
2004,292.3121827,-0.12,0.05,0.013339603
2005,236.216086,0.36,-0.12,0.013385839
2006,385.5690095,-0.9,0.36,0.013473943
2007,314.0841942,1.16,-0.9,0.013602926
2008,276.6240538,1.06,1.16,0.013696211
2009,266.3336887,0.04,1.06,0.013842188
2010,570.0384705,-2.57,0.04,0.014056222
2011,463.6594534,-0.68,-2.57,0.014129492
2012,408.1371831,1.6,-0.68,0.014202393
2013,451.6931102,-1.68,1.6,0.014313221
2014,443.4643599,0.91,-1.68,0.014504642
2015,477.0972877,1.87,0.91,0.014528843
2016,516.1903763,1,1.87,0.014781907
2017,506.262484,0.89,1,0.015087205
2018,416.2315672,-0.16,0.89,0.015231396
2019,503.5245,0.76,-0.16,0.015231396
